"drugbankid","smiles","id"
"DB00280","CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C",163
"DB00281","CCN(CC)CC(=O)NC1=C(C)C=CC=C1C",683
"DB00285","COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1",664
"DB00288","[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O",445
"DB00289","CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1",487
"DB00292","CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1",261
"DB00296","CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C",701
"DB00297","CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C",696
"DB00298","CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1",210
"DB00308","CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1",338
"DB00310","NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12",641
"DB00312","CCCC(C)C1(CC)C(=O)NC(=O)NC1=O",495
"DB00313","CCCC(CCC)C(O)=O",613
"DB00315","CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12",58
"DB00316","CC(=O)NC1=CC=C(O)C=C1",537
"DB00320","[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O",85
"DB00321","CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12",4
"DB00324","[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C",463
"DB00327","[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O",563
"DB00328","COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O",569
"DB00332","[Br-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N@+]2(C)C(C)C",172
"DB00334","CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2",37
"DB00335","CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1",265
"DB00340","CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1",176
"DB00342","CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1",190
